game_id,drive_number,field_pos,time_remaining,is_half_one,is_half_two,UTM,score_differential,pos_team TOL,def_time TOL,result,yds_gained / 10,actual_yds_gained,field_goal_attempt,field_goal_distance
2010010305 - 43039,15,77,575,0,1,0,6,3,2,fourth_down,0,2,0,NA
2010010305 - 43043,16,34,450,0,1,0,-6,2,3,touchdown,NA,NA,0,NA
2010010305 - 43052,17,77,277,0,1,0,-1,3,2,turnover,NA,NA,0,NA
2010010305 - 43054,18,28,229,0,1,0,1,2,3,touchdown,NA,NA,0,NA
2010010305 - 43061,19,66,107,0,1,1,-8,3,2,fourth_down,3,32,0,NA
2010010305 - 43072,20,65,14,0,1,1,8,2,1,end_of_half,NA,NA,0,NA
2010010304 - 43075,1,80,1794,1,0,0,0,3,3,fourth_down,5,54,1,44
2010010304 - 43088,2,79,1483,1,0,0,-3,3,2,turnover,NA,NA,0,NA
2010010304 - 43091,3,41,1443,1,0,0,3,2,3,fourth_down,0,-1,0,NA
2010010304 - 43095,4,89,1383,1,0,0,-3,3,2,fourth_down,2,24,0,NA
2010010304 - 43100,5,87,1228,1,0,0,3,2,3,fourth_down,0,7,0,NA
2010010304 - 43104,6,48,1147,1,0,0,-3,3,2,fourth_down,2,24,1,42
2010010304 - 43112,7,54,952,1,0,0,0,2,3,fourth_down,4,44,1,28
2010010304 - 43122,8,71,772,1,0,0,-3,3,2,fourth_down,2,24,0,NA
2010010304 - 43130,9,80,545,1,0,0,3,2,3,fourth_down,0,-5,0,NA
2010010304 - 43135,10,42,390,1,0,0,-3,3,2,touchdown,NA,NA,0,NA
2010010304 - 43144,11,76,174,1,0,0,-4,2,3,touchdown,NA,NA,0,NA
2010010304 - 43161,12,85,7,1,0,1,-3,2,0,end_of_half,NA,NA,0,NA
2010010304 - 43164,13,77,1795,0,1,0,-3,3,3,fourth_down,1,15,0,NA
2010010304 - 43169,14,39,1678,0,1,0,3,3,3,touchdown,NA,NA,0,NA
2010010304 - 43178,15,65,1498,0,1,0,-10,3,3,fourth_down,0,-5,0,NA
2010010304 - 43182,16,72,1424,0,1,0,10,3,3,fourth_down,0,-1,0,NA
2010010304 - 43188,17,71,1261,0,1,0,-10,3,2,fourth_down,4,42,1,48
2010010304 - 43197,18,85,1003,0,1,0,7,2,3,fourth_down,1,10,0,NA
2010010304 - 43204,19,58,888,0,1,0,-7,3,2,touchdown,NA,NA,0,NA
2010010304 - 43215,20,87,573,0,1,0,0,2,3,touchdown,NA,NA,0,NA
